No.,(m-M),err(m-M),D(Mpc),Method,Refcode,Notes,SN Name,Redshift,H0,LMCModulus
70,29.33,,7.350,SNIa,2013NewA...20...30M,"GClstr MESSIER 101 GROUP BCG 1 of 1, Ic",SN 2011fe,,,
71,29.38,,7.520,SNIa,2013NewA...20...30M,"GClstr MESSIER 101 GROUP BCG 1 of 1, V",SN 2011fe,,,
72,28.94,0.34,6.140,TRGB,2018ApJS..235...23S,GClstr MESSIER 101 GROUP BCG 1 of 1,,,,
73,29.05,0.06,6.460,TRGB,2011ApJ...733..124S,"GClstr MESSIER 101 GROUP BCG 1 of 1, I",,,,
74,29.09,0.34,6.580,TRGB,2018ApJS..235...23S,GClstr MESSIER 101 GROUP BCG 1 of 1,,,,
75,29.12,0.04,6.660,TRGB,2017ApJ...836...74J,"GClstr MESSIER 101 GROUP BCG 1 of 1, I, LMC zero point",,,,
76,29.12,0.14,6.680,TRGB,2015AstL...41..239T,"GClstr MESSIER 101 GROUP BCG 1 of 1, Field 1",,,,
77,29.14,0.32,6.730,TRGB,2018ApJS..235...23S,GClstr MESSIER 101 GROUP BCG 1 of 1,,,,
78,29.14,0.32,6.730,TRGB,2018ApJS..235...23S,GClstr MESSIER 101 GROUP BCG 1 of 1,,,,
79,29.15,0.04,6.750,TRGB,2017ApJ...836...74J,"GClstr MESSIER 101 GROUP BCG 1 of 1, I, NGC 4258 + LMC zero point",,,,
80,29.15,0.02,6.750,TRGB,2017ApJ...836...74J,"GClstr MESSIER 101 GROUP BCG 1 of 1, QT, LMC zero poQTnt",,,,
81,29.16,0.02,6.790,TRGB,2017ApJ...836...74J,"GClstr MESSIER 101 GROUP BCG 1 of 1, QT, NGC 4258 + LMC zero poQTnt",,,,
82,29.17,0.02,6.810,TRGB,2017ApJ...836...74J,"GClstr MESSIER 101 GROUP BCG 1 of 1, QT, NGC 4258 zero poQTnt",,,,
83,29.17,0.13,6.810,TRGB,2015AstL...41..239T,"GClstr MESSIER 101 GROUP BCG 1 of 1, Field 2",,,,
84,29.19,0.04,6.870,TRGB,2017ApJ...836...74J,"GClstr MESSIER 101 GROUP BCG 1 of 1, I, NGC 4258 zero point",,,,
85,29.19,0.14,6.890,TRGB,2015AstL...41..239T,"GClstr MESSIER 101 GROUP BCG 1 of 1, Field 3",,,,
86,29.29,0.33,7.210,TRGB,2018ApJS..235...23S,GClstr MESSIER 101 GROUP BCG 1 of 1,,,,
87,29.30,0.01,7.240,TRGB,2012ApJ...760L..14L,"GClstr MESSIER 101 GROUP BCG 1 of 1, I, 0.12 mag systematic error",,,,
88,29.34,0.09,7.380,TRGB,2007ApJ...661..815R,"GClstr MESSIER 101 GROUP BCG 1 of 1, I",,,,
89,29.42,0.11,7.660,TRGB,2004ApJ...608...42S,GClstr MESSIER 101 GROUP BCG 1 of 1,,,,
90,29.06,0.83,6.500,SNII optical,1974ApJ...193...27K,"GClstr MESSIER 101 GROUP BCG 1 of 1, EPM, first use of",SN 1970G,,,
91,29.35,0.40,7.400,SNII optical,1994ApJ...432...42S,GClstr MESSIER 101 GROUP BCG 1 of 1,SN 1970G,,,
92,29.40,0.58,7.600,SNII optical,1992ApJ...395..366S,"GClstr MESSIER 101 GROUP BCG 1 of 1, EPM",SN 1970G,,,
93,28.40,,4.790,Brightest Stars,1986AJ.....91..808H,"GClstr MESSIER 101 GROUP BCG 1 of 1, M supergiants",,,,
94,28.90,,6.030,Brightest Stars,1980A&A....83..354C,"GClstr MESSIER 101 GROUP BCG 1 of 1, Photographic",,,,
95,29.20,,6.920,Brightest Stars,1983AJ.....88.1569S,"GClstr MESSIER 101 GROUP BCG 1 of 1, Photographic",,,,
96,29.30,,7.240,Brightest Stars,1980ApJ...241..598H,"GClstr MESSIER 101 GROUP BCG 1 of 1, Photographic",,,,
97,29.62,0.41,8.390,Tully-Fisher,1984A&A...132..253R,GClstr MESSIER 101 GROUP BCG 1 of 1,,,53.90,
98,28.60,0.20,5.250,M Stars,1983ApJ...264..458H,"GClstr MESSIER 101 GROUP BCG 1 of 1, Photographic",,,,
99,29.40,0.16,7.590,RSV Stars,2000MNRAS.313..868J,"GClstr MESSIER 101 GROUP BCG 1 of 1, 42, I, RSGV",,,,
100,28.60,,5.250,S Doradus Stars,1989A&A...217...87W,GClstr MESSIER 101 GROUP BCG 1 of 1,,,,
101,29.21,0.06,6.950,Statistical,2013AJ....146...86T,Mean of Cepheids and TRGB,,,74.40,
102,27.07,,2.600,Tully-Fisher,1994A&A...283...21S,"GClstr MESSIER 101 GROUP BCG 1 of 1, CO",,,75.00,
103,27.84,,3.700,Tully-Fisher,1985A&AS...59...43B,"GClstr MESSIER 101 GROUP BCG 1 of 1, Diameter",,,103.00,
104,27.96,,3.900,Tully-Fisher,1994A&A...283...21S,"GClstr MESSIER 101 GROUP BCG 1 of 1, HI",,,75.00,
105,28.11,,4.190,Tully-Fisher,1984A&AS...56..381B,"GClstr MESSIER 101 GROUP BCG 1 of 1, Diameter",,,103.00,
106,28.42,,4.830,Tully-Fisher,1985A&AS...59...43B,"GClstr MESSIER 101 GROUP BCG 1 of 1, Mean of B mag and Diameter TF relation",,,103.00,
107,28.65,0.40,5.400,Tully-Fisher,1988NBGC.C....0000T,"GClstr MESSIER 101 GROUP BCG 1 of 1, B",,,75.00,
108,28.70,,5.500,Tully-Fisher,1984A&AS...56..381B,"GClstr MESSIER 101 GROUP BCG 1 of 1, Mean of B mag and Diameter TF relation",,,103.00,
109,28.71,,5.520,Tully-Fisher,1985A&AS...59...43B,"GClstr MESSIER 101 GROUP BCG 1 of 1, B",,,103.00,
110,28.97,0.02,6.220,Tully-Fisher,1986A&A...156..157B,"GClstr MESSIER 101 GROUP BCG 1 of 1, B",,,103.00,
111,29.00,,6.310,Tully-Fisher,1984A&AS...56..381B,"GClstr MESSIER 101 GROUP BCG 1 of 1, B",,,103.00,
112,29.01,0.33,6.340,Tully-Fisher,1983ApJ...265....1A,,,,80.00,
113,29.20,0.50,6.920,Tully-Fisher,1994ApJ...430...53P,"GClstr MESSIER 101 GROUP BCG 1 of 1, SN 1970G host",,,,18.45
114,28.18,0.28,4.330,HII region diameter,1982ApJ...255L..29L,"GClstr MESSIER 101 GROUP BCG 1 of 1, Photographic",,,,
115,28.80,,5.750,HII region diameter,1980A&A....83..354C,"GClstr MESSIER 101 GROUP BCG 1 of 1, Photographic",,,,
116,29.35,0.38,7.400,SNII radio,1998ApJ...500...51W,GClstr MESSIER 101 GROUP BCG 1 of 1,SN 1970G,,,
