MJD,mag,mag_err
60340.294792,17.249,0.045
60244.337211,15.829,0.028
60237.379306,15.721,0.032
60235.428113,15.695,0.034
60233.44125,15.67,0.032
60213.499491,15.415,0.032
60211.463819,15.369,0.037
60206.464884,15.294,0.032
60204.434051,15.283,0.031
60201.44412,15.246,0.033
60198.478461,15.184,0.029
60194.495012,15.141,0.032
60186.420058,15.013,0.03
60184.481817,14.964,0.028
60182.465521,14.979,0.026
