MJD,mag,mag_err
60325.133468,15.66,0.012
60325.139665,15.659,0.012
60325.142848,15.66,0.012
60325.155135,15.671,0.011
60326.134639,15.662,0.015
60326.166956,15.527,0.013
60326.170171,15.576,0.012
60326.175754,15.551,0.013
60329.198641,15.694,0.013
60329.201479,15.67,0.013
60329.206747,15.689,0.013
60329.216847,15.698,0.013
60330.149807,15.699,0.015
60330.153079,15.671,0.014
60330.159478,15.667,0.014
60330.169595,15.649,0.014
60333.133226,15.24,0.021
60333.137326,15.268,0.02
60333.14098,15.695,0.016
60333.143264,15.257,0.019
60333.144164,15.716,0.02
60333.150226,15.704,0.018
60333.153432,15.254,0.021
60333.162333,15.666,0.016
60334.143558,15.693,0.02
60334.146827,15.677,0.017
60334.152761,15.729,0.018
60334.16465,15.696,0.019
60334.885877,15.806,0.06
60336.008047,15.7,0.023
60336.011598,15.678,0.023
60336.017681,15.685,0.022
60336.032787,15.704,0.03
60337.130825,15.57,0.015
60337.146052,15.585,0.017
60337.149212,15.612,0.016
60337.154359,15.641,0.016
60338.132998,15.576,0.014
60338.137277,15.667,0.014
60338.142523,15.676,0.015
60338.153134,15.532,0.014
60340.025373,15.674,0.014
60340.028601,15.715,0.014
60340.039772,15.672,0.014
60340.045069,15.701,0.016
60341.137728,15.714,0.012
60341.14144,15.687,0.013
60341.14706,15.676,0.013
60341.157234,15.725,0.013
60342.128518,15.712,0.013
60342.131719,15.687,0.012
60342.138351,15.698,0.013
60342.148171,15.718,0.013
60345.139815,15.734,0.02
60345.143006,15.713,0.013
60345.149441,15.71,0.015
60345.159291,15.724,0.015
60346.077667,15.731,0.013
60346.105187,15.655,0.013
60346.108341,15.752,0.012
60346.118028,15.709,0.013
60347.873689,15.746,0.019
60347.877383,15.716,0.017
60347.883206,15.733,0.018
60347.893689,15.747,0.018
60349.117822,15.678,0.013
60349.121013,15.66,0.013
60349.127904,15.69,0.013
60349.138207,15.673,0.012
60350.105998,15.576,0.014
60350.109641,15.745,0.016
60350.126296,15.688,0.014
60350.130464,15.591,0.014
60350.133492,15.571,0.015
60350.139073,15.615,0.015
60350.149338,15.629,0.014
60350.860393,15.751,0.012
60350.877415,15.713,0.014
60350.884454,15.695,0.014
60350.887746,15.804,0.015
60350.892921,15.774,0.015
60350.917887,15.718,0.014
