MJD,mag,dmag
60311.964247,15.572,0.02
60311.976421,15.556,0.028
60313.177732,15.425,0.011
60313.181375,15.296,0.011
60313.186832,15.534,0.012
60313.197514,15.336,0.013
60314.179735,15.531,0.011
60314.182949,15.36,0.011
60314.189325,15.337,0.012
60314.19919,15.358,0.012
60315.969467,15.641,0.012
60315.972727,15.648,0.013
60315.984441,15.63,0.011
60317.182326,15.656,0.012
60317.185982,15.61,0.011
60317.191465,15.625,0.012
60317.20291,15.668,0.013
60318.212973,15.596,0.012
60318.216279,15.567,0.011
60318.22138,15.557,0.011
60318.232183,15.587,0.012
60321.14326,15.59,0.015
60321.155396,15.612,0.018
60321.15676,15.653,0.013
60321.158581,15.558,0.012
60321.159965,15.649,0.011
60321.169262,15.558,0.021
60321.170164,15.667,0.012
60321.17617,15.439,0.013
60322.138669,15.725,0.026
60322.139202,15.573,0.014
60322.142507,15.577,0.014
60322.147962,15.485,0.019
60322.148413,15.577,0.013
60322.182799,15.349,0.013
60325.133468,15.66,0.012
60325.139665,15.659,0.012
60325.142848,15.66,0.012
60325.155135,15.671,0.011
60326.134639,15.662,0.015
60326.166956,15.527,0.013
60326.170171,15.576,0.012
60326.175754,15.551,0.013
60329.198641,15.694,0.013
60329.201479,15.67,0.013
60329.206747,15.689,0.013
60329.216847,15.698,0.013
60330.149807,15.699,0.015
60330.153079,15.671,0.014
60330.159478,15.667,0.014
60330.169595,15.649,0.014
60333.133226,15.24,0.021
60333.137326,15.268,0.02
60333.14098,15.695,0.016
60333.143264,15.257,0.019
60333.144164,15.716,0.02
60333.150226,15.704,0.018
60333.153432,15.254,0.021
60333.162333,15.666,0.016
60334.143558,15.693,0.02
60334.146827,15.677,0.017
60334.152761,15.729,0.018
60334.16465,15.696,0.019
60334.885877,15.806,0.06
60336.008047,15.7,0.023
60336.011598,15.678,0.023
60336.017681,15.685,0.022
60336.032787,15.704,0.03
60337.130825,15.57,0.015
60337.146052,15.585,0.017
60337.149212,15.612,0.016
60337.154359,15.641,0.016
60338.132998,15.576,0.014
60338.137277,15.667,0.014
60338.142523,15.676,0.015
60338.153134,15.532,0.014
60340.025373,15.674,0.014
60340.028601,15.715,0.014
60340.039772,15.672,0.014
60340.045069,15.701,0.016
60341.137728,15.714,0.012
60341.14144,15.687,0.013
60341.14706,15.676,0.013
60341.157234,15.725,0.013
60342.128518,15.712,0.013
60342.131719,15.687,0.012
60342.138351,15.698,0.013
60342.148171,15.718,0.013
60345.139815,15.734,0.02
60345.143006,15.713,0.013
60345.149441,15.71,0.015
60345.159291,15.724,0.015
60346.077667,15.731,0.013
60346.105187,15.655,0.013
60346.108341,15.752,0.012
60346.118028,15.709,0.013
60347.873689,15.746,0.019
60347.877383,15.716,0.017
60347.883206,15.733,0.018
60347.893689,15.747,0.018
60349.117822,15.678,0.013
60349.121013,15.66,0.013
60349.127904,15.69,0.013
60349.138207,15.673,0.012
60350.105998,15.576,0.014
60350.109641,15.745,0.016
60350.126296,15.688,0.014
60350.130464,15.591,0.014
60350.133492,15.571,0.015
60350.139073,15.615,0.015
60350.149338,15.629,0.014
60350.860393,15.751,0.012
60350.877415,15.713,0.014
60350.884454,15.695,0.014
60350.887746,15.804,0.015
60350.892921,15.774,0.015
60350.917887,15.718,0.014
60284.993148,19.49,
60354.230613,16.521,0.064
60341.244734,16.327,0.035
60326.293241,16.152,0.031
60324.220984,16.128,0.034
60321.289271,16.135,0.043
60314.276644,15.994,0.03
60290.435046,15.545,0.049
60288.345961,15.652,0.029
60287.376875,15.75,0.032
60352.240694,15.75,0.021
60341.179931,15.663,0.023
60339.231528,15.669,0.023
60334.231389,15.641,0.025
60326.228831,15.617,0.033
60324.243171,15.62,0.026
60308.380521,15.398,0.029
60295.327569,15.529,0.025
60290.376898,15.58,0.026
60289.313125,15.662,0.034
60288.397928,15.801,0.021
60287.314271,16.042,0.024
