JD;mag;uncert;band;by;comCode;compStar1;compStar2;charts;comment;transformed;airmass;val;cmag;kmag;starName;obsAffil;mtype;adsRef;digitizer;credit;obsID;fainterThan;obsType;software;obsName;obsCountry
2460113.70615;11.352;0.004;R;SJJB;;ENSEMBLE;117;X28721BCB;M101_SN2023IXF_RPHOT_JJSANBORN|CMAGINS=-6.700|CREFMAG=12.358|ENSTYPE=1|KMAG=11.343|KMAGINS=-7.715|KREFERR=0.048|KREFMAG=11.359|VMAGINS=-7.707;0;1.083;Z;;11.343;SN 2023IXF;AAVSO;STD;;;;1299251419;0;CCD;VPHOT 4.0.34;Sanborn, Jason;US
2460113.70727;11.679;0.003;V;FJQ;;000-BKD-528;000-BKD-533;X28727UI;NEWLOC_PINONPINESCA-USA |CREFERR=0.047|CREFMAG=11.948|CX=1.0700|KREFERR=0.046|KREFMAG=13.801|KX=1.0701|TAVER=2.53|TV_BV=0.0020|TV_BVERR=0.0110|VERR=0.003|VMAGINS=13.102|VX=1.0702;1;1.069;Z;13.371;15.204;SN 2023IXF;AAVSO;STD;;;;1299340030;0;CCD;MAXIM DL VERSION 5.23;Foster, James;US
2460113.70778;11.668;0.004;V;FJQ;;000-BKD-528;000-BKD-533;X28727UI;NEWLOC_PINONPINESCA-USA |CREFERR=0.047|CREFMAG=11.948|CX=1.0703|KREFERR=0.046|KREFMAG=13.801|KX=1.0704|TAVER=2.53|TV_BV=0.0020|TV_BVERR=0.0110|VERR=0.004|VMAGINS=13.104|VX=1.0706;1;1.069;Z;13.384;15.191;SN 2023IXF;AAVSO;STD;;;;1299340031;0;CCD;MAXIM DL VERSION 5.23;Foster, James;US
2460113.70836;11.675;0.004;V;FJQ;;000-BKD-528;000-BKD-533;X28727UI;NEWLOC_PINONPINESCA-USA |CREFERR=0.047|CREFMAG=11.948|CX=1.0707|KREFERR=0.046|KREFMAG=13.801|KX=1.0708|TAVER=2.53|TV_BV=0.0020|TV_BVERR=0.0110|VERR=0.004|VMAGINS=13.098|VX=1.0710;1;1.070;Z;13.371;15.220;SN 2023IXF;AAVSO;STD;;;;1299340032;0;CCD;MAXIM DL VERSION 5.23;Foster, James;US
2460113.70910;12.098;0.004;B;FJQ;;000-BKD-528;000-BKD-533;X28727UI;NEWLOC_PINONPINESCA-USA |CREFERR=0.068|CREFMAG=12.572|CX=1.0712|KREFERR=0.091|KREFMAG=14.699|KX=1.0714|TAVER=2.53|TB_BV=0.2880|TB_BVERR=0.0290|VERR=0.004|VMAGINS=13.089|VX=1.0715;1;1.070;Z;13.522;15.570;SN 2023IXF;AAVSO;STD;;;;1299339918;0;CCD;MAXIM DL VERSION 5.23;Foster, James;US
2460113.70928;12.121;0.006;B;SJJB;;ENSEMBLE;117;X28721AZE;M101_SN2023IXF_BPHOT_JJSANBORN|CMAGINS=-6.090|CREFMAG=12.383|ENSTYPE=1|KMAG=12.288|KMAGINS=-6.184|KREFERR=0.057|KREFMAG=12.268|VMAGINS=-6.352;0;1.087;Z;;12.288;SN 2023IXF;AAVSO;STD;;;;1299251392;0;CCD;VPHOT 4.0.34;Sanborn, Jason;US
2460113.70983;12.074;0.004;B;FJQ;;000-BKD-528;000-BKD-533;X28727UI;NEWLOC_PINONPINESCA-USA |CREFERR=0.068|CREFMAG=12.572|CX=1.0717|KREFERR=0.091|KREFMAG=14.699|KX=1.0719|TAVER=2.53|TB_BV=0.2880|TB_BVERR=0.0290|VERR=0.004|VMAGINS=13.083|VX=1.0720;1;1.071;Z;13.530;15.633;SN 2023IXF;AAVSO;STD;;;;1299339919;0;CCD;MAXIM DL VERSION 5.23;Foster, James;US
2460113.71057;12.068;0.004;B;FJQ;;000-BKD-528;000-BKD-533;X28727UI;NEWLOC_PINONPINESCA-USA |CREFERR=0.068|CREFMAG=12.572|CX=1.0722|KREFERR=0.091|KREFMAG=14.699|KX=1.0724|TAVER=2.53|TB_BV=0.2880|TB_BVERR=0.0290|VERR=0.004|VMAGINS=13.082|VX=1.0725;1;1.071;Z;13.535;15.594;SN 2023IXF;AAVSO;STD;;;;1299339920;0;CCD;MAXIM DL VERSION 5.23;Foster, James;US
2460113.71148;11.148;0.005;I;FJQ;;000-BKD-528;000-BKD-533;X28727UI;NEWLOC_PINONPINESCA-USA |CREFERR=0.063|CREFMAG=11.134|CX=1.0729|KREFERR=0.074|KREFMAG=12.698|KX=1.0731|TAVER=2.53|TI_VI=-0.0450|TI_VIERR=0.0150|VERR=0.005|VMAGINS=13.645|VX=1.0732;1;1.072;Z;13.647;15.189;SN 2023IXF;AAVSO;STD;;;;1299340133;0;CCD;MAXIM DL VERSION 5.23;Foster, James;US
2460113.712004;11.651;0.002;V;TNBA;;NA;;K;OSC (RGB) TRANSFORMED TO JOHNSON-COUSINS. ABSOLUTE UNCERTAINTY ~.05. RELATIVE UNCERTAINTIES ARE AS REPORTED.;1;1.1;Z;;;SN 2023IXF;AAVSO;STD;;;;1300211918;0;CCD;MATLAB VERSION R2022A;Thomas, Neil;US
2460113.712004;12.137;0.005;B;TNBA;;NA;;K;OSC (RGB) TRANSFORMED TO JOHNSON-COUSINS. ABSOLUTE UNCERTAINTY ~.05. RELATIVE UNCERTAINTIES ARE AS REPORTED.;1;1.1;Z;;;SN 2023IXF;AAVSO;STD;;;;1300211796;0;CCD;MATLAB VERSION R2022A;Thomas, Neil;US
2460113.712004;11.361;0.005;R;TNBA;;NA;;K;OSC (RGB) TRANSFORMED TO JOHNSON-COUSINS. ABSOLUTE UNCERTAINTY ~.05. RELATIVE UNCERTAINTIES ARE AS REPORTED.;1;1.1;Z;;;SN 2023IXF;AAVSO;STD;;;;1300211881;0;CCD;MATLAB VERSION R2022A;Thomas, Neil;US
2460113.71205;11.137;0.005;I;FJQ;;000-BKD-528;000-BKD-533;X28727UI;NEWLOC_PINONPINESCA-USA |CREFERR=0.063|CREFMAG=11.134|CX=1.0733|KREFERR=0.074|KREFMAG=12.698|KX=1.0735|TAVER=2.53|TI_VI=-0.0450|TI_VIERR=0.0150|VERR=0.005|VMAGINS=13.638|VX=1.0736;1;1.072;Z;13.651;15.173;SN 2023IXF;AAVSO;STD;;;;1299340134;0;CCD;MAXIM DL VERSION 5.23;Foster, James;US
2460113.71263;11.160;0.005;I;FJQ;;000-BKD-528;000-BKD-533;X28727UI;NEWLOC_PINONPINESCA-USA |CREFERR=0.063|CREFMAG=11.134|CX=1.0737|KREFERR=0.074|KREFMAG=12.698|KX=1.0739|TAVER=2.53|TI_VI=-0.0450|TI_VIERR=0.0150|VERR=0.005|VMAGINS=13.650|VX=1.0740;1;1.073;Z;13.642;15.180;SN 2023IXF;AAVSO;STD;;;;1299340135;0;CCD;MAXIM DL VERSION 5.23;Foster, James;US
