MJD,mag,mag_err
60637.11915,16.683,0.062
60638.24911,16.643,0.075
60639.15876,17.045,0.075
60641.23789,17.005,0.079
60647.1517,16.210,0.044
60648.2023,16.167,0.046
60648.32649,16.186,0.047
60649.05784,16.168,0.044
60651.04368,16.072,0.05
60653.04497,16.169,0.056
